['月', 'm', 24590]
['尘', 'n', 955]
['送', 'v', 948]
['春光', 'n', 943]
['动', 'v', 927]
['色', 'ng', 920]
['缘', 'n', 915]
['泪', 'n', 915]
['曾', 'd', 892]
['山水', 'ns', 872]
['唱', 'v', 864]
['映', 'v', 860]
['人间', 'n', 854]
['分', 'v', 852]
['游', 'v', 851]
['神', 'n', 850]
['隐', 'n', 846]
['染', 'v', 845]
['秋风', 'nr', 840]
['休', 'zg', 838]
['荷', 'ng', 829]
['露', 'v', 828]
['最', 'd', 828]
['剑', 'n', 825]
['茶', 'n', 805]
['冷', 'a', 804]
['夏', 'nr', 804]
['写', 'v', 803]
['图', 'n', 792]
['早', 'a', 789]
['千年', 'm', 789]
['瘦', 'a', 782]
['春秋', 't', 781]
['鱼', 'n', 779]
['勤', 'a', 760]
['楼', 'n', 760]
['花香', 'nr', 758]
['泉', 'ns', 758]
['壮', 'v', 742]
['乱', 'd', 740]
['荣', 'nr', 731]
['雅', 'ns', 731]
['语', 'ng', 725]
['仙', 'ng', 721]
['霜', 'n', 721]
['润', 'v', 717]
['四海', 'ns', 712]
['间', 'f', 705]
['幽', 'n', 704]
['百', 'n', 703]
['千里', 'q', 684]
['恨', 'v', 680]
['平', 'n', 677]
['凤', 'nr', 674]
['读', 'v', 663]
['岭', 'n', 661]
['圆', 'n', 658]
['红尘', 'n', 657]
['锦', 'ns', 653]
['富', 'nr', 652]
['开', 'v', 648]
['追', 'v', 646]
['教', 'v', 639]
['英雄', 'ns', 639]
['易', 'a', 639]
['手', 'n', 639]
['虎', 'n', 637]
['催', 'zg', 633]
['公', 'n', 632]
['溪', 'n', 629]
['叶', 'nr', 625]
['功', 'n', 624]
['琴', 'n', 622]
['寄', 'v', 621]
['江山', 'ns', 621]
['信', 'n', 617]
['寂寞', 'a', 614]
['邀', 'v', 605]
['胜', 'v', 605]
['久', 'a', 590]
['羊', 'n', 589]
['赋', 'v', 583]
['精神', 'n', 578]
['贤', 'zg', 576]
['绕', 'v', 572]
['吹', 'v', 566]
['愿', 'v', 565]
['弦', 'n', 563]
['宜', 'vg', 562]
['欣', 'nr', 560]
['风雨', 'n', 558]
['旧', 'a', 557]
['华', 'ns', 555]
['放', 'v', 550]
['风云', 'n', 549]
['聚', 'v', 544]
['汉', 'j', 542]
['赏', 'v', 539]
['寿', 'n', 529]
['登', 'v', 529]
['魂', 'n', 524]
['女', 'b', 524]
['古今', 't', 522]
['颂', 'v', 520]
['识', 'v', 510]
['居', 'v', 509]
['点', 'm', 508]
['迷', 'v', 508]
['妙', 'a', 507]
['称', 'v', 507]
['波', 'j', 503]
['峰', 'nr', 502]
['风月', 'n', 499]
['九州', 'ns', 499]
['鸣', 'v', 499]
['碧水', 'nr', 497]
['始', 'd', 496]
['亲', 'v', 496]
['灵', 'nr', 496]
['业', 'n', 496]
['化', 'n', 495]
['湖', 'ns', 495]
['兰', 'nr', 494]
['修', 'v', 494]
['雾', 'n', 493]
['亭', 'ng', 493]
['鬼', 'n', 490]
['破', 'v', 488]
['浓', 'a', 488]
['摇', 'v', 486]
['话', 'n', 486]
['白云', 'nr', 484]
['坐', 'v', 483]
['庆', 'vg', 482]
['牛', 'n', 479]
['忆', 'nr', 478]
['东风', 'n', 477]
['收', 'v', 477]
['飘', 'v', 472]
['迎春', 'nr', 471]
['霞', 'n', 471]
['友', 'ng', 470]
['终', 'd', 468]
['细雨', 'n', 467]
['容', 'a', 465]
['锦绣', 'n', 463]
['眼', 'n', 463]
['黄', 'a', 458]
['走', 'v', 457]
['双', 'n', 456]
['味', 'n', 455]
['报', 'n', 454]
['浮', 'v', 452]
['垂', 'v', 451]
['桃', 'ns', 451]
['发', 'v', 450]
['存', 'v', 450]
['横', 'v', 449]
['频', 'n', 447]
['凝', 'v', 445]
['足', 'a', 443]
['风光', 'n', 443]
['辉', 'nr', 443]
['盈', 'n', 441]
['菊', 'n', 438]
['官', 'n', 436]
['王', 'nr', 429]
['世界', 'n', 429]
['灯', 'n', 428]
['野', 'n', 427]
['往事', 'v', 423]
['文明', 'nr', 423]
['耀', 'nz', 421]
['百年', 'm', 419]
['法', 'j', 415]
['酬', 'ng', 414]
['三分', 'm', 412]
['辞', 'v', 408]
['林', 'ng', 408]
['唯', 'b', 405]
['戏', 'n', 405]
['结', 'n', 404]
['叹', 'zg', 404]
['晓', 'nr', 402]
['关', 'v', 402]
['果', 'ng', 395]
['神州', 'ns', 395]
['敲', 'v', 390]
['头', 'n', 387]
['悲', 'n', 385]
['钟', 'nr', 383]
['步', 'n', 380]
['晚', 'tg', 380]
['引', 'v', 379]
['钓', 'v', 379]
['饮', 'n', 377]
['一生', 'm', 376]
['再', 'd', 372]
['火', 'n', 371]
['彩', 'n', 369]
['蝶', 'nz', 368]
['新春', 'ns', 367]
['广', 'a', 365]
['西', 'f', 365]
['骨', 'n', 364]
['锁', 'v', 364]
['消', 'v', 364]
['衣', 'n', 363]
['凉', 'v', 363]
['北', 'ns', 361]
['荡', 'v', 359]
['芳', 'nr', 358]
['诚', 'a', 358]
['觅', 'v', 357]
['城', 'n', 356]
['忘', 'v', 354]
['莲', 'n', 354]
['杯', 'q', 353]
['合', 'v', 353]
['解', 'v', 345]
['正气', 'n', 344]
['贵', 'a', 344]
['春', 'tg', 342]
['死', 'v', 342]
['漫', 'a', 342]
['众', 'ng', 341]
['挂', 'v', 340]
['守', 'v', 339]
['度', 'zg', 338]
['卷', 'm', 338]
['读书', 'n', 337]
['眠', 'vg', 335]
['秋月', 't', 335]
['显', 'v', 335]
['娇', 'a', 334]
['期', 'n', 334]
['杨柳', 'nr', 334]
['忙', 'v', 331]
['雄', 'n', 330]
['翻', 'v', 330]
['安', 'v', 326]
['中华', 'nz', 320]
['三千', 'm', 318]
['弄', 'v', 318]
['抱', 'v', 318]
['千古', 'ns', 317]
['呈', 'v', 317]
['谋', 'v', 315]
['夕阳', 'ns', 313]
['下', 'f', 312]
['种', 'm', 312]
['诗书', 'n', 312]
['音', 'n', 309]
['词', 'n', 309]
['渡', 'v', 308]
['君子', 'n', 308]
['枝', 'q', 308]
['钱', 'n', 307]
['士', 'n', 306]
['秋水', 'nr', 304]
['宝', 'nr', 303]
['紫', 'n', 302]
['利', 'n', 301]
['千山', 'ns', 301]
['数', 'n', 299]
['镜', 'ng', 298]
['狂', 'zg', 297]
['增', 'v', 297]
['廉', 'nr', 296]
['穿', 'zg', 295]
['境', 's', 294]
['短', 'a', 294]
['力', 'n', 293]
['振', 'v', 292]
['趣', 'n', 292]
['怜', 'v', 291]
['痴', 'a', 290]
['悟', 'v', 290]
['卧', 'v', 289]
['养', 'v', 288]
['强', 'a', 288]
['一片', 'm', 287]
['十年', 'm', 287]
['节', 't', 286]
['阁', 'ng', 285]
['物', 'zg', 285]
['羞', 'v', 284]
['史', 'nr', 283]
['念', 'v', 280]
['人心', 'n', 279]
['永', 'ns', 279]
['师', 'ng', 278]
['李', 'nr', 278]
['心中', 's', 277]
['帆', 'n', 277]
['想', 'v', 276]
['载', 'v', 276]
['调', 'v', 275]
['精', 'n', 275]
['承', 'v', 275]
['吟诗', 'v', 275]
['偏', 'a', 274]
['园', 'zg', 274]
['全', 'a', 274]
['土', 'zg', 273]
['宽', 'a', 272]
['阔', 'a', 271]
['沧海', 'ns', 270]
['舒', 'zg', 270]
['义', 'ng', 270]
['弹', 'v', 269]
['花落', 'n', 269]
['余', 'm', 268]
['遇', 'v', 267]
['巧', 'a', 267]
['珠', 'ng', 267]
['尚', 'd', 265]
['孤', 'a', 264]
['春雨', 'n', 264]
['偶', 'd', 263]
['艳', 'a', 262]
['盛', 'v', 262]
['张', 'q', 261]
['无情', 'n', 261]
['谷', 'nr', 259]
['惟', 'b', 259]
['育', 'v', 259]
['涌', 'v', 258]
['燕子', 'nr', 257]
['含', 'v', 257]
['净', 'a', 256]
['平生', 'n', 256]
['是非', 'v', 256]
['寺', 'ng', 255]
['理', 'n', 255]
['进', 'v', 255]
['青春', 'ns', 254]
['浮云', 'n', 253]
['木', 'n', 252]
['悬', 'v', 252]
['桥', 'n', 252]
['接', 'v', 251]
['散', 'v', 250]
['逐', 'd', 250]
['惠', 'nr', 249]
['仰', 'v', 249]
['转', 'v', 248]
['昌', 'nr', 248]
['系', 'v', 246]
['穷', 'a', 246]
['响', 'zg', 246]
['天涯', 'n', 245]
['多情', 'n', 244]
['堂', 'q', 244]
['禅', 'n', 244]
['世事', 'n', 244]
['政', 'n', 242]
['伤', 'v', 241]
['俗', 'a', 240]
['断', 'v', 240]
['春来', 't', 240]
['落花', 'n', 235]
['洗', 'v', 234]
['入梦', 'v', 233]
['许', 'm', 232]
['壮志', 'n', 231]
['自然', 'd', 229]
['贪', 'v', 229]
['天上', 's', 229]
['斗', 'vn', 228]
['逍遥', 'a', 227]
['铺', 'v', 227]
['细', 'a', 227]
['仁', 'ng', 225]
['牵', 'v', 224]
['口', 'q', 224]
['江湖', 'ns', 222]
['陈', 'nr', 220]
['恋', 'v', 220]
['桃李', 'n', 220]
['融', 'vn', 220]
['黄花', 'n', 219]
['有情', 'n', 218]
['忧', 'v', 215]
['蛇', 'n', 214]
['佳人', 'n', 214]
['浅', 'a', 214]
['直', 'd', 213]
['主', 'b', 213]
['移', 'v', 213]
['乡', 'n', 213]
['鸡', 'n', 212]
['圣', 'j', 212]
['甜', 'a', 212]
['桂', 'nr', 211]
['暗', 'd', 211]
['招', 'v', 211]
['斜', 'v', 210]
['药', 'n', 210]
['挥', 'v', 210]
['庭', 'n', 209]
['变', 'v', 208]
['剪', 'v', 208]
['觉', 'v', 207]
['描', 'v', 207]
['夜雨', 't', 206]
['恩', 'nr', 206]
['人情', 'n', 205]
['启', 'v', 205]
['疏', 'v', 205]
['月光', 'n', 204]
['亮', 'v', 204]
['惹', 'v', 204]
['山中', 's', 203]
['面', 'n', 203]
['升', 'zg', 203]
['鼓', 'v', 202]
['世间', 'n', 201]
['人', 'n', 200]
['风', 'n', 200]
['故人', 'n', 199]
['疑', 'vg', 197]
['祥', 'nr', 197]
['闹', 'v', 197]
['尊', 'q', 195]
['风吹', 'v', 195]
['岳', 'nr', 195]
['月影', 'n', 194]
['大道', 'n', 194]
['苑', 'nr', 193]
['冬', 't', 193]
['醒', 'v', 193]
['落日', 'n', 193]
['洞', 'n', 193]
['尤', 'd', 192]
['祖', 'nr', 190]
['自有', 'v', 190]
['铸', 'n', 190]
['誉', 'v', 190]
['推', 'v', 189]
['未必', 'd', 189]
['指', 'n', 188]
['残', 'n', 188]
['灿', 'a', 187]
['丰', 'a', 186]
['田', 'n', 185]
['儿', 'n', 185]
['红梅', 'nr', 185]
['台', 'q', 184]
['富贵', 'a', 184]
['武', 'n', 183]
['举', 'v', 183]
['滋', 'n', 182]
['紫气', 'n', 182]
['太', 'd', 182]
['做', 'v', 182]
['献', 'v', 182]
['惜', 'nr', 181]
['纸', 'n', 181]
['绿水', 'n', 181]
['甘', 'nr', 181]
['怨', 'v', 180]
['纳', 'nr', 180]
['吐', 'v', 180]
['运', 'n', 180]
['山河', 'ns', 180]
['性', 'n', 179]
['南', 'ns', 179]
['蕴', 'v', 179]
['暮', 'tg', 179]
['现', 'tg', 178]
['假', 'n', 178]
['无人', 'n', 178]
['厚', 'a', 178]
['飞花', 'n', 177]
['落叶', 'n', 177]
['泛', 'v', 177]
['芳草', 'n', 176]
['兵', 'n', 175]
['先生', 'n', 174]
['财', 'n', 174]
['十里', 'm', 173]
['谢', 'v', 173]
['复', 'v', 173]
['累', 'a', 173]
['东', 'ns', 173]
['失', 'zg', 173]
['遥', 'ag', 172]
['千家', 'm', 172]
['谈', 'v', 171]
['明', 't', 171]
['使', 'v', 171]
['倚', 'zg', 170]
['住', 'v', 170]
['奔', 'zg', 170]
['佳', 'a', 169]
['群', 'n', 169]
['一曲', 'm', 169]
['僧', 'n', 168]
['杏', 'n', 167]
['河', 'ns', 167]
['集', 'q', 166]
['扶', 'v', 165]
['绽', 'vg', 165]
['春水', 'n', 165]
['民生', 'n', 164]
['透', 'v', 164]
['东西', 'ns', 164]
['尝', 'v', 163]
['岸', 'n', 163]
['船', 'n', 162]
['懒', 'a', 162]
['记', 'n', 162]
['根', 'p', 162]
['当年', 't', 162]
['题', 'n', 162]
['两岸', 'f', 161]
['护', 'zg', 161]
['干', 'v', 161]
['水中', 's', 160]
['青天', 't', 160]
['底', 'f', 159]
['世上', 's', 159]
['肥', 'n', 159]
['傲', 'a', 158]
['云山', 'ns', 156]
['妆', 'ng', 156]
['今日', 't', 156]
['遍', 'v', 156]
['一身', 'm', 156]
['赞', 'v', 155]
['沉', 'v', 155]
['知音', 'n', 155]
['咏', 'n', 155]
['夸', 'v', 155]
['渐', 'd', 154]
['潮', 'n', 154]
['和谐', 'a', 154]
['拜', 'v', 153]
['帘', 'n', 153]
['倾', 'n', 153]
['春花', 'n', 153]
['施', 'nr', 153]
['栖', 'v', 153]
['竞', 'vn', 152]
['播', 'v', 152]
['一夜', 'm', 152]
['车', 'zg', 152]
['偷', 'v', 151]
['烟雨', 'n', 150]
['得意', 'v', 150]
['瑞', 'ns', 150]
['莺', 'ng', 149]
['装', 'v', 149]
['白发', 'nr', 149]
['抛', 'zg', 149]
['梅香', 'nr', 149]
['更', 'd', 148]
['参', 'n', 148]
['携', 'v', 148]
['知己', 'n', 148]
['八方', 'n', 147]
['白雪', 'nr', 147]
['湿', 'a', 147]
['扫', 'v', 146]
['磨', 'v', 146]
['百花', 'n', 146]
['四季', 'm', 146]
['三杯', 'm', 146]
['负', 'v', 145]
['奏', 'v', 145]
['一杯', 'm', 145]
['溢', 'n', 145]
['随风', 'n', 145]
['鉴', 'p', 144]
['冰', 'n', 143]
['烟霞', 'n', 143]
['微', 'n', 142]
['洒', 'v', 142]
['民心', 'n', 141]
['换', 'nz', 141]
['美酒', 'n', 141]
['持', 'v', 141]
['盛世', 'nr', 141]
['治', 'v', 140]
['寂', 'a', 140]
['瑞雪', 'nr', 139]
['楚', 'nr', 139]
['丽', 'nr', 138]
['功名', 'n', 138]
['一点', 'm', 138]
['中', 'f', 138]
['紫燕', 'nr', 138]
['煮', 'v', 138]
['年', 'm', 138]
['道德', 'nr', 137]
['宏', 'n', 137]
['枕', 'n', 137]
['有意', 'v', 137]
['笑', 'v', 136]
['交', 'v', 136]
['万古', 'ns', 136]
['乾坤', 'nz', 136]
['掩', 'v', 136]
['江南', 'ns', 136]
['尔', 'nr', 135]
['事业', 'n', 135]
['院', 'n', 135]
['斜阳', 'n', 135]
['付', 'v', 135]
['秋雨', 'nr', 134]
['取', 'v', 133]
['耕', 'n', 133]
['沾', 'zg', 133]
['托', 'v', 133]
['归来', 'v', 133]
['不可', 'v', 132]
['痕', 'n', 132]
['病', 'n', 132]
['网', 'n', 132]
['封', 'q', 131]
['丹心', 'n', 131]
['银', 'ng', 131]
['呼', 'zg', 131]
['栽', 'v', 131]
['晴', 'v', 131]
['斟', 'v', 130]
['水流', 'n', 130]
['占', 'v', 130]
['杏花', 'n', 129]
['探', 'v', 129]
['跃', 'v', 129]
['无心', 'v', 129]
['势', 'n', 129]
['馨', 'ng', 129]
['柳岸', 'nr', 128]
['源', 'ng', 128]
['秋色', 'n', 128]
['修身', 'v', 128]
['万家', 'm', 128]
['原', 'n', 127]
['访', 'v', 127]
['萦', 'v', 126]
['险', 'a', 126]
['聊', 'v', 126]
['铁', 'n', 126]
['创', 'n', 126]
['莲花', 'n', 126]
['名利', 'n', 125]
['建', 'v', 125]
['山色', 'n', 125]
['令', 'v', 125]
['翁', 'nr', 125]
['敬', 'v', 124]
['崇', 'zg', 124]
['曾经', 'd', 124]
['云天', 'nr', 124]
['享', 'v', 123]
['岛', 'n', 123]
['采', 'v', 123]
['啼', 'v', 122]
['改', 'v', 122]
['舍', 'v', 122]
['黄金', 'n', 121]
['开心', 'v', 121]
['奋', 'v', 121]
['眉', 'n', 121]
['幸', 'ng', 121]
['试', 'v', 121]
['贺', 'nr', 120]
['旭日', 'nrt', 120]
['拂', 't', 120]
['百姓', 'n', 119]
['宗', 'nr', 119]
['实', 'n', 118]
['鸟语', 'nz', 118]
['冷月', 't', 118]
['胆', 'n', 118]
['千载', 'm', 117]
['红颜', 'nr', 117]
['礼', 'n', 117]
['无私', 'b', 117]
['墙', 'n', 117]
['伤心', 'n', 116]
['碎', 'a', 116]
['笔墨', 'n', 116]
['郎', 'nr', 116]
['绣', 'v', 115]
['素', 'n', 115]
['续', 'v', 115]
['平安', 'a', 114]
['遗', 'n', 114]
['径', 'n', 114]
['达', 'v', 114]
['幸福', 'a', 114]
['泽', 'nr', 114]
['花间', 'n', 113]
['古道', 'n', 113]
['十分', 'm', 113]
['文字', 'n', 113]
['耳', 'n', 113]
['花心', 'n', 112]
['良', 'a', 112]
['千般', 'd', 112]
['一声', 'm', 112]
['深处', 's', 112]
['孝', 'ng', 111]
['神仙', 'n', 110]
['效', 'n', 110]
['急', 'v', 110]
['属', 'v', 110]
['四时', 't', 109]
['座', 'q', 109]
['笼', 'n', 109]
['命', 'n', 109]
['裁', 'n', 109]
['笛', 'nr', 109]
['年', 'm', 109]
['秦', 'nr', 108]
['枫', 'nr', 108]
['越', 'd', 107]
['踏', 'v', 107]
['驱', 'v', 107]
['无声', 'd', 107]
['勤劳', 'a', 107]
['南海', 'ns', 106]
['从容', 'v', 106]
['低', 'a', 106]
['衔', 'v', 106]
['一叶', 'm', 106]
['翰墨', 'n', 106]
['驾', 'v', 105]
['柔', 'v', 105]
['红花', 'n', 105]
['拥', 'v', 105]
['泥', 'n', 104]
['宴', 'n', 104]
['笔下', 'n', 104]
['竹影', 'n', 104]
['昭', 'nrt', 104]
['声声', 'n', 103]
['智', 'ng', 103]
['闲云', 'n', 103]
['将军', 'n', 103]
['北斗', 'nr', 103]
['室', 'n', 103]
['户', 'q', 103]
['领', 'v', 103]
['自由', 'a', 102]
['攀', 'v', 102]
['皓月', 'nz', 102]
['悠', 'a', 102]
['珍', 'zg', 102]
['一世', 't', 102]
['江水', 'ns', 102]
['宇', 'nr', 102]
['青云', 'ns', 102]
['驻', 'v', 101]
['误', 'v', 101]
['披', 'v', 101]
['山川', 'ns', 101]
['虚', 'd', 100]
['朋', 'n', 100]
['玩', 'v', 100]
['欺', 'vn', 100]
['窥', 'v', 100]
['窗前', 's', 100]
['唤', 'vg', 100]
['村', 'zg', 100]
['防', 'v', 100]
['挥毫', 'v', 100]
['西风', 'nr', 100]
['十', 'm', 100]
['酿', 'vn', 99]
['辉煌', 'a', 99]
['约', 'd', 99]
['屏', 'n', 99]
['坛', 'ng', 99]
['目', 't', 99]
['红叶', 'n', 99]
['无言', 'c', 99]
['需', 'v', 98]
['新年', 't', 98]
['元', 'm', 98]
['镇', 'n', 98]
['诉', 'vn', 98]
['今朝', 't', 98]
['夫', 'n', 97]
['印', 'v', 97]
['乘风', 'n', 97]
['阳', 'nr', 97]
['茂', 'a', 97]
['挺', 'd', 97]
['把酒', 'v', 97]
['买', 'v', 97]
['米', 'q', 97]
['风花', 'n', 96]
['篇', 'q', 96]
['喧', 'v', 96]
['输', 'v', 96]
['黑', 'a', 96]
['诗情', 'n', 96]
['云烟', 'n', 95]
['母', 'n', 95]
['赖', 'nr', 95]
['卖', 'v', 94]
['落', 'v', 94]
['回头', 'v', 94]
['规', 'n', 94]
['楼台', 'n', 94]
['同心', 'n', 94]
['叶落', 'n', 93]
['方知', 'n', 93]
['枝头', 'n', 93]
['门前', 's', 93]
['山', 'ns', 93]
['感', 'v', 93]
['埋', 'v', 92]
['池', 'nr', 92]
['棋', 'n', 92]
['刀', 'n', 92]
['俱', 'dg', 91]
['风清', 'n', 91]
['筑', 'v', 91]
['和', 'c', 91]
['拾', 'v', 91]
['草木', 'n', 91]
['苏', 'j', 91]
['臻', 'vg', 91]
['威', 'ns', 91]
['眼前', 't', 90]
['丹', 'ns', 90]
['小康', 'nr', 90]
['孙', 'zg', 90]
['表', 'v', 90]
['鞭', 'n', 90]
['题诗', 'n', 90]
['助', 'v', 90]
['布', 'nr', 90]
['千金', 'n', 89]
['有心', 'a', 89]
['三江', 'ns', 89]
['捧', 'v', 89]
['挽', 'v', 89]
['坚', 'v', 89]
['热', 'n', 88]
['周', 'nr', 87]
['烟云', 'n', 87]
['春意', 'n', 87]
['月', 'm', 87]
['铭', 'n', 87]
['食', 'v', 86]
['血', 'n', 86]
['涵', 'v', 86]
['降', 'v', 86]
['桃源', 'n', 86]
['子孙', 'nr', 86]
['补', 'v', 86]
['中秋', 't', 86]
['迎新', 'v', 86]
['苍茫', 'z', 86]
['光明', 'n', 85]
['柳絮', 'nr', 85]
['济', 'j', 85]
['慰', 'v', 85]
['章', 'q', 84]
['春梦', 'nz', 84]
['勾', 'v', 84]
['艺', 'n', 83]
['高', 'a', 83]
['贫', 'n', 83]
['姿', 'n', 83]
['慢', 'a', 83]
['第一', 'm', 83]
['缺', 'v', 83]
['笺', 'v', 83]
['啸', 'v', 82]
['脚', 'n', 82]
['震', 'v', 82]
['相逢', 'v', 82]
['如来', 't', 82]
['阳光', 'nr', 82]
['擂台', 'v', 82]
['登高', 'v', 82]
['燃', 'n', 82]
['侵', 'v', 81]
['鸿', 'nr', 81]
['老', 'a', 81]
['羡', 'v', 81]
['丝', 'm', 81]
['造', 'v', 81]
['壁', 'n', 81]
['清凉', 'a', 81]
['柳绿', 'nr', 80]
['迹', 'n', 80]
['瑞气', 'n', 80]
['工', 'n', 80]
['高山', 'ns', 80]
['美女', 'n', 80]
['盘', 'q', 80]
['风', 'n', 80]
['高楼', 'n', 80]
['梨花', 'n', 80]
['野渡', 'n', 79]
['界', 'n', 79]
['背', 'v', 79]
['代', 'q', 79]
['遭', 'v', 79]
['性情', 'n', 79]
['两行', 'j', 79]
['万户', 'm', 78]
['堆', 'v', 78]
['为民', 'v', 78]
['云中', 'ns', 78]
['讲', 'v', 78]
['日照', 'n', 78]
['律', 'nr', 78]
['发展', 'vn', 78]
['策', 'n', 78]
['国家', 'n', 78]
['国粹', 'n', 78]
['驰', 'vg', 77]
['宏图', 'n', 77]
['吃', 'v', 77]
['颜', 'nr', 77]
['罗', 'j', 77]
['白日', 't', 77]
['徒', 'd', 77]
['遮', 'v', 77]
['无意', 'v', 77]
['水平', 'n', 77]
['陪', 'v', 77]
['首', 'm', 77]
['兔', 'n', 77]
['征', 'v', 77]
['梁', 'nr', 76]
['回首', 'v', 76]
['象', 'n', 76]
['吴', 'nr', 76]
['美景', 'n', 76]
['生死', 'v', 76]
['烦', 'v', 76]
['红日', 'n', 76]
['顶', 'v', 75]
['沉浮', 'v', 75]
['胸', 'ng', 75]
['忠', 'nr', 75]
['龙门', 'ns', 75]
['域', 'n', 74]
['无须', 'd', 74]
['隔', 'v', 74]
['塔', 'j', 74]
['爽', 'nr', 74]
['贯', 'nr', 74]
['字', 'n', 74]
['三生', 'b', 73]
['雅韵', 'nr', 73]
['一轮', 'm', 73]
['沙', 'nr', 73]
['列', 'v', 73]
['鲜', 'n', 73]
['宫', 'nr', 72]
['宿', 'nr', 72]
['异', 'zg', 72]
['万象', 'n', 72]
['黄昏', 't', 72]
['喜气', 'n', 72]
['帘', 'ng', 72]
['奉', 'v', 72]
['深山', 'ns', 72]
['郡', 'n', 71]
['学海', 'n', 71]
['儒', 'n', 71]
['人才', 'n', 71]
['九天', 't', 71]
['医', 'n', 71]
['水底', 'n', 71]
['窗外', 's', 71]
['丹青', 'nr', 71]
['川', 'j', 70]
['冠', 'n', 70]
['玉宇', 'nr', 70]
['行舟', 'n', 70]
['妙手', 'n', 70]
['薄', 'a', 70]
